name,market_share_pct,notes
"EPR/PAS (Acute, Community, MH)",9.968,"FHI Market Model, Overview sheet (NHS baseline)"
GP Patient Record systems,4.862,"FHI Market Model, Overview sheet (NHS baseline)"
EPMA & Prescribing,2.917,"FHI Market Model, Overview sheet (NHS baseline)"
Clinical & Departmental Systems,4.376,"FHI Market Model, Overview sheet (NHS baseline)"
PACS/RIS (software & services),3.647,"FHI Market Model, Overview sheet (NHS baseline)"
Back Office Systems (excl 0365),4.133,"FHI Market Model, Overview sheet (NHS baseline)"
Patient Engagement,0.814,"FHI Market Model, Overview sheet (NHS baseline)"
Remote Monitoring,1.459,"FHI Market Model, Overview sheet (NHS baseline)"
Analytics,1.969,"FHI Market Model, Overview sheet (NHS baseline)"
AI,0,"FHI Market Model, Overview sheet (NHS baseline)"
Consulting (digital/tech),5.348,"FHI Market Model, Overview sheet (NHS baseline)"
IT Outsourcing,6.686,"FHI Market Model, Overview sheet (NHS baseline)"
Networking & Communications,10.94,"FHI Market Model, Overview sheet (NHS baseline)"
Cyber Security,2.699,"FHI Market Model, Overview sheet (NHS baseline)"
Hardware,7.439,"FHI Market Model, Overview sheet (NHS baseline)"
ICT staff (internal),16.775,"FHI Market Model, Overview sheet (NHS baseline)"
