country_iso2,market_category,year,spend_route,value,currency,basis,methodology,confidence,notes
GB,"EPR/PAS (Acute, Community, MH)",2025,local,410,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,GP Patient Record systems,2025,local,200,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,EPMA & Prescribing,2025,local,120,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Clinical & Departmental Systems,2025,local,180,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,PACS/RIS (software & services),2025,local,150,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Back Office Systems (excl 0365),2025,local,170,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Patient Engagement,2025,local,33.5,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Remote Monitoring,2025,local,60,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Analytics,2025,local,81,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Consulting (digital/tech),2025,local,220,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,IT Outsourcing,2025,local,275,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Networking & Communications,2025,local,450,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Networking & Communications,2027,local,104,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Networking & Communications,2028,local,169,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Networking & Communications,2029,local,182,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Networking & Communications,2030,local,151,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Cyber Security,2025,local,111,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Cyber Security,2027,local,69,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Cyber Security,2028,local,79,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Cyber Security,2029,local,84,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Cyber Security,2030,local,78,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Hardware,2025,local,306,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,ICT staff (internal),2025,local,690,GBP,revenue,top_down,medium,"FHI Market Model, Overview sheet"
GB,Patient Engagement,2027,national_programme,302,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Patient Engagement,2028,national_programme,498,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Patient Engagement,2029,national_programme,546,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Patient Engagement,2030,national_programme,436,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Analytics,2027,national_programme,40,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Analytics,2028,national_programme,50,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Analytics,2029,national_programme,60,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Analytics,2030,national_programme,80,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,IT Outsourcing,2027,national_programme,104,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,IT Outsourcing,2028,national_programme,169,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,IT Outsourcing,2029,national_programme,182,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,IT Outsourcing,2030,national_programme,151,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Networking & Communications,2027,national_programme,152,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Networking & Communications,2028,national_programme,161,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Networking & Communications,2029,national_programme,161,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Networking & Communications,2030,national_programme,160,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Cyber Security,2027,national_programme,69,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Cyber Security,2028,national_programme,79,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Cyber Security,2029,national_programme,84,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
GB,Cyber Security,2030,national_programme,78,GBP,revenue,top_down,medium,"FHI Market Model, Key Contracts & Spending Plans sheet"
