name,year,revenue_value,capital_value,notes
Existing run/maintenance,2026,962,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Existing run/maintenance,2027,902,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Existing run/maintenance,2028,903,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Existing run/maintenance,2029,904,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Existing run/maintenance,2030,905,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Establishing Operational Excellence,2027,114,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Establishing Operational Excellence,2028,122,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Establishing Operational Excellence,2029,124,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Establishing Operational Excellence,2030,125,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming the Patient Experience,2027,66,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming the Patient Experience,2028,221,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming the Patient Experience,2029,273,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming the Patient Experience,2030,193,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming & Connecting Care,2027,35,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming & Connecting Care,2028,176,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming & Connecting Care,2029,177,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Transforming & Connecting Care,2030,183,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Frontline Productivity,2027,209,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Frontline Productivity,2028,384,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Frontline Productivity,2029,436,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Frontline Productivity,2030,357,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Core Infrastructure,2027,45,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Core Infrastructure,2028,76,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Core Infrastructure,2029,91,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
Core Infrastructure,2030,59,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
One Digital,2027,20,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
One Digital,2028,27,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
One Digital,2029,49,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
One Digital,2030,51,,"FHI Market Model, Key Contracts & Spending Plans sheet — NHS England national digital programme"
"NHS England National Programmes (all, Revenue/Capital)",2026,1337,1000,"FHI Market Model, Key Contracts & Spending Plans sheet"
"NHS England National Programmes (all, Revenue/Capital)",2027,1631,993,"FHI Market Model, Key Contracts & Spending Plans sheet"
"NHS England National Programmes (all, Revenue/Capital)",2028,2218,1474,"FHI Market Model, Key Contracts & Spending Plans sheet"
"NHS England National Programmes (all, Revenue/Capital)",2029,2385,1155,"FHI Market Model, Key Contracts & Spending Plans sheet"
"NHS England National Programmes (all, Revenue/Capital)",2030,2145,1054,"FHI Market Model, Key Contracts & Spending Plans sheet"
