category_group,name,scope,definition,alt_definition,market_category
clinical_business,Accident & Emergency,extended,A specialist system used to manage patients and patient clinical notes in the Emergency Department (ED),,
clinical_business,Adult (working age) services,extended,"This may be an independent system for managing these patients, or it may be part of the trust's EPR functionality.",,
clinical_business,Ambient Voice Technology (scribing),extended,Ambient Voice Technology (AI Scribe) - Technology that automatically captures and transcribes clinician–patient conversations in real time and uses artificial intelligence to generate structured clinical notes or documentation. This differs from standard speech recognition or dictation tools because the system works in the background during consultations and produces draft notes for clinician review rather than requiring manual dictation.,,AI
clinical_business,Analytics (BI that includes outcomes),extended,Analytical software and processes to collect and analyse data including clinical outcomes to support both business planning and reporting.,,Analytics
clinical_business,Analytics (PLICS),extended,"A business intelligence tool that provides patient level costing information, systematically analysing electronic patient data to monitor patient level costing (may include healthcare resource groups).","Patient-Level Information and Costing Systems (PLICS) are data collection and cost information tools used to collect and analyse patient data that will help measure and manage costs. They help NHS organisations make sense of the costs of delivering specific services to patients and find out where costs can be reduced, or efficiencies can be maximised. They are commonly used to submit the National Cost Collection return in the autumn. Typical vendors are LOGEX, Iqvia and Civica.",Analytics
clinical_business,Assessment and risk management,extended,Electronic systems to perform patient/clinical assessments and risk management ,,
clinical_business,Bed Management,extended,"Real-time bed states are viewable and accessible, enabling more efficient management of bed occupancy and patient movements.",,
clinical_business,BI & Data Warehousing,extended,"Integrates data and information collected from various sources, e.g. electronic patient/health records, enterprise resource planning systems, radiology and lab databases, wearables etc, into one comprehensive database",,Analytics
clinical_business,Blood tracking,extended,A system that electronically tracks and matches blood products with the correct patient (from fridge to vein).,,Clinical & Departmental Systems
clinical_business,Cardiology,extended,A specialist clinical information system is used for cardiology,,Clinical & Departmental Systems
clinical_business,Child and Adolescent Mental Health Services (CAMHS),extended,is a broad term for all services that work with children and young people who have difficulties with their emotional or behavioural wellbeing.,,
clinical_business,Child Health System,extended,"Responsible for collating data from healthcare professionals for children aged 0-19 in a specified area, into a single child health record.",,
clinical_business,Clinical Communication and Collaboration,extended,"Clinical communication and collaboration tools enable clinicians to securely electronically communicate, both individually and across teams, to co-ordinate and plan patient care.  They are often delivered as mobile apps and may be embedded into clinical workflow or connected to EPRs.  Some may be offered as alternatives to Bleep systems. Examples: Bleepa, Alcidion, Armour Communications, MedicBleep",,
clinical_business,Clinical data warehouse,extended,"A centralized repository for a healthcare organization's data retrieved from disparate sources, processed, and structured for analytical querying and reporting.",,Analytics
clinical_business,Clinical decision support,extended,"Within, or in conjunction with, its e-prescribing systems, Clinical Decision Support (CDS) assists prescribing clinicians in safely identifying suitable medicines, doses and titrations, for individual patients.",,Clinical & Departmental Systems
clinical_business,Clinical decision support in e-prescribing,extended,"Within, or in conjunction with, its e-prescribing systems, Clinical Decision Support (CDS) assists prescribing clinicians in safely identifying suitable medicines, doses and titrations, for individual patients.",,EPMA & Prescribing
clinical_business,Clinical noting,extended,"A clinical noting documentation system that enables the electronic recording, storage and retrieval recording of patient medical records related to a patient’s diagnosis and care during an inpatient hospital visit or encounter.",,Clinical & Departmental Systems
clinical_business,Clinical Portal,core,An electronic window that will allow clinicians to view defined information about individual patients in a ‘virtual’ electronic patient record drawn from information held in different clinical systems. Integrates a variety of products and services in the clinical setting.,,Clinical & Departmental Systems
clinical_business,Clinical workflow engine/integrated care pathways,extended,A system implemented that enables it to create rules driven electronic care pathways mapped to standardised treatment protocols.,,Clinical & Departmental Systems
clinical_business,Community Patient Administration System,extended,Community Patient Administration System- PAS system (see definition for PAS) in the community trusts. ,,"EPR/PAS (Acute, Community, MH)"
clinical_business,Critical care,extended,A critical care information system for Intensive Care Units and high acuity care that enables clinicians to manage critical workflow and care plans for patients.,,Clinical & Departmental Systems
clinical_business,Diagnostic imaging,extended,Electronic medical imaging systems providing the core capabilities to manage diagnostic images and associated reports.,,PACS/RIS (software & services)
clinical_business,Diagnostic Reporting,extended,"test results which are electronically transmitted to the clinician who ordered them, with receipt acknowledgement. This is usally a module in EPR, PACS or RIS system.","Diagnostic reporting can be integrated with PACS (Picture Archiving and Communication Systems), RIS (Radiology Information Systems), and EPRs (Electronic Patient Records), but it is not necessarily a separate system.   OR                    The Diagnostic Report resource is concerned with the process of observing, testing, and diagnosing a patient. It typically provides a textual set of information and interpretation after performing a diagnostic service or procedure such as a Radiology or Pathology report.",Clinical & Departmental Systems
clinical_business,Digital Dictation,extended,"device used for recording and managing natural speech, allowing staff to verbally input a patients' note into a system without having to manually input it.",,
clinical_business,Discharge Letters,extended,"The ability to electronically generate and send detailed discharge letters to GPs and other relevant HCPs, when a patient is discharged from hospital-based services.",,
clinical_business,Document Management,extended,"Converts records into electronic format so that they can be viewed, moved around, and managed electronically on screen. Acts as a live filing system.",,Back Office Systems (excl 0365)
clinical_business,Eating disorders,extended,"This may be an independent system for managing these patients, or it may be part of the trust's EPR functionality.",,
clinical_business,Electronic Care Programme Approach (eCPA),extended,"The system is designed to improve the quality of information in CPA care plans and, for the first time, to enable the rapid and standardised adoption of evidence-based good practice",,
clinical_business,Electronic Pre-operative Assessment (ePOA),extended,"A digital platform/app that streamlines the pre-operative assessment process, replacing traditionally paper-based tasks with electronic data collection for efficiency. It allows patients to provide essential information online before their hospital visit and engage in a structured assessment, often with a nurse, to ensure a smooth and efficient preparation for surgery. Some suppliers include, AireLogic, Definition Health, OpenMedical.",,
clinical_business,EPR,core,"An electronic patient/health record is an electronic record of periodic health care of a single individual, provided mainly by one institution. A digital version of a patient's paper chart. ",,"EPR/PAS (Acute, Community, MH)"
clinical_business,E-rostering,extended,"An electronic staff management tool that enables trusts to plan staffing requirements, report on enhanced hours, overtime, sickness, TOIL and annual leave.",,Back Office Systems (excl 0365)
clinical_business,Eye Screening,extended,"Eye screening- System for eye screening  to check for diabetic retinopathy, a condition that can lead to sight loss if it's not detected early and treated.",,
clinical_business,Finance,core,This is a financial management and accounting solution used alongside HR software. Suppliers here include Unit4,,Back Office Systems (excl 0365)
clinical_business,Finance BI and analytics system,extended,Tools used for transforming and analysing financial and related data sets,,Analytics
clinical_business,Forensics/ Secure,extended,A specialist mental health services provide intensive support for adults and young people with mental health needs in a secure setting.,,
clinical_business,Genomics platform,extended,collects and stores genome data,"a centralized, high-throughput facility or technological infrastructure that provides end-to-end services for analyzing genetic material, including DNA/RNA sequencing, sample preparation, and computational data analysis.",Clinical & Departmental Systems
clinical_business,Health Information Exchange (HIE),core,A system which allows health care providers and patients to appropriately access and securely share a patient's vital medical information electronically.,"Is the electronic transmission of healthcare-related data among medical facilities, health information organizations, and government agencies according to national standards. HIE enables care professionals to view shared records and make more informed decisions for patients.",Clinical & Departmental Systems
clinical_business,Human Resources (HR),extended,"HR software is a digital solution that encompasses various HR processes, such as personnel management, payroll processing, and compliance tracking, to streamline workforce management, enhance efficiency, and ensure adherence to NHS-specific regulations and requirements.",,Back Office Systems (excl 0365)
clinical_business,Improving Access to Psychological Therapies (IAPT),extended,"A patient management and reporting system for psychological therapists providing cognitive behavioural therapy (CBT) and other related treatments, which meets the central IAPT reporting requirements. Used to measure local accessibility of psychological therapies.",,
clinical_business,Inpatient e-prescribing,core,"Advanced e-prescribing in use across wards for inpatient care, incorporating specialist prescribing and (ideally) clinical decision support, integrated as part of end-to-end medicines management. This possibly offers the single biggest opportunity for improving patient safety through digitalisation.",,EPMA & Prescribing
clinical_business,Integrated care pathways,extended,"A multidisciplinary evidence-based management approach based on a standardised healthcare plan for a specific group of patients with a predictable clinical course, in which the different tasks by the professionals involved in the patient care are defined, optimised and sequenced.",,Clinical & Departmental Systems
clinical_business,Integration Platform,extended,Software that supports the integration and interoperability of various clinical and management IT systems and services.,,Clinical & Departmental Systems
clinical_business,Laboratory Information Management System,core,"Software that allows you to effectively manage pathology testing and reporting. By using a LIMS, your lab can automate workflows, integrate instruments, and manage samples and associated information.",,Clinical & Departmental Systems
clinical_business,Learning disabilities,extended,"This may be an independent system for managing these patients, or it may be part of the trust's EPR functionality.",,
clinical_business,Live operational dashboard system,extended,Live operational dashboard system-this is a toolset developed to provide clinicians with the relevant and timely information they need to support daily decision making that improve quality of patient care,,Analytics
clinical_business,Main Community System,extended,"A main community system is a software system that supports the delivery of community health services by enabling electronic patient records (EPR) and case management. Civica Paris and Servelec Rio are examples of main community systems. They help to improve patient outcomes by providing a single view of patient information, supporting multi-disciplinary team working, integrated health and social care services, and online and offline mobile working.",,"EPR/PAS (Acute, Community, MH)"
clinical_business,Maternity,core,It is the specialist maternity system in use for maternity care.,,Clinical & Departmental Systems
clinical_business,Medicine management,core,"Medicine management- a system that manages, records and monitors medicine administration",,EPMA & Prescribing
clinical_business,Observations - vital signs,extended,"A system for electronic recording at the bedside of patient vital sign data, together with a mechanism to include in the patient’s electronic record.",,
clinical_business,Older Adults,extended,"This may be an independent system for managing these patients, or it may be part of the trust's EPR functionality.",,
clinical_business,Oncology,extended,An Oncology Information Management solution supports the multidisciplinary teams involved in the care of patients with cancer.,,Clinical & Departmental Systems
clinical_business,Oncology e-prescribing,extended,"Module or functionality that supports electronic chemotherapy prescribing, medication administration and dispensing activities.",,EPMA & Prescribing
clinical_business,Order Communications,core,"Electronic ordering communications systems (OCS) are computer applications used to enter diagnostic and therapeutic patient care orders, for example laboratory test requests or prescriptions, and to view test results. The primary aim of the system is to remove most of the current paper-based process for requesting laboratory investigations and for receiving results.",,Clinical & Departmental Systems
clinical_business,Outcomes/performance benchmarking,extended,"These systems enable a trust to compare their key clinical outcomes indicators, such as mortality, length of stay and readmission rates, with other NHS trusts",,Analytics
clinical_business,PACS,core,A picture archiving and communications system is used for diagnostic images.,"PACS allows both storage of and access to medical images, including CT and MRI scans, ultrasounds and standard digital X-rays.",PACS/RIS (software & services)
clinical_business,Pathology,extended,Pathology testing is managed electronically,,Clinical & Departmental Systems
clinical_business,Pathology PACS,extended,"Software for digital storage and management of pathology images, like tissue samples and slides, to aid healthcare analysis and to enhance efficiency and accuracy of pathological examinations.","If request for clarifcation: To clarify, the system I am referring to is intended for the digital storage and management of pathology images, such as tissue samples and slides. This system aims to aid healthcare analysis and enhance the efficiency and accuracy of pathological examinations. If there is a specific term or name your trust uses for this system (e.g. Digital Pathology), please feel free to provide it, and I will ensure our request accurately aligns with your terminology.",PACS/RIS (software & services)
clinical_business,Patient Administration System,core,"These are the core enterprise systems, containing a Master Patient Index, used by NHS trusts to enable them to know when a patient has arrived, who they are, who they were seen by, what treatment they received and what happened to them. This core functionality, needed by every trust, covers admission, discharge and transfer.",,"EPR/PAS (Acute, Community, MH)"
clinical_business,Patient care scheduling,extended,"Patient care scheduling is the process of organizing and managing appointments for patients to ensure efficient use of resources and timely delivery of care. It involves assigning patients and their activities to specific times and resources, like doctors, nurses, and equipment.",,
clinical_business,Patient Engagement Portal,extended,It is a digital platform used by healthcare providers across the system to securely share data and interact with patients/carers to better support/manage patient's health and wellbeing.,,Patient Engagement
clinical_business,Patient identification/tracking,extended,"A patient identification/tracking system allows a healthcare provider to log and monitor the progress of a person through the provision of care during their stay. Such systems are part of an overall information system and may interact with other system, such as EPR, RIS, etc.",,
clinical_business,Patient Portal,core,"It is a secure online website or app that allows patients to access their health records and perform basic transactions with their providers. The portal facilitates communication, appointment scheduling, bill payment, prescription requests and other administrative tasks.",,Patient Engagement
clinical_business,Patients Note Tracking,extended,"Also called patient identification system, allows a healthcare provider to log and monitor the progress of a person through the provision of care during their stay there.",,
clinical_business,Payroll,extended,"A payroll system streamlines your organization's payment process, automating the calculation and distribution of wages at each pay period's end. It records hours worked, salaries, bonuses, taxes, benefits, and deductions, ensuring accurate employee payments.",,Back Office Systems (excl 0365)
clinical_business,Pharmacy,extended,Pharmacy orders and stock control is managed electronically,,
clinical_business,Population health management,extended,"Population health management platforms cover the set of IT capabilities and related services that enable provider organizations to manage populations of patients and achieve the specific quality, cost and experience goals.",Do they use EPR capability to access Shared Care Record?,Analytics
clinical_business,Portering,extended,A digital portering system is a task allocation and management system designed to improve the efficiency and effectiveness of the portering service throughout a hospital or trust.,,
clinical_business,Procurement Software,extended,"Procurement software is a business software that automates the procurement process, from sourcing and vendor selection to purchase order creation and payment processing. It helps with supplier management, spend management/analysis, contract management, and compliance in procurement operations.",,Back Office Systems (excl 0365)
clinical_business,Radiology Information Systems,core,Radiology results and reporting are managed electronically.,,PACS/RIS (software & services)
clinical_business,Scheduling,extended,"Enterprise level systems that are designed to effectively and efficiently allocate resources (staff, equipment, treatment and even data) to patients at the necessary time and place. Systems in this area range from appointment booking, typically for clinic slots, through to far more sophisticated SAP-style resource allocation and scheduling systems.",,
clinical_business,Secondary Care Electronic Prescription Service (EPS),extended,,,EPMA & Prescribing
clinical_business,Sexual Health,extended,"Software designed to streamline and manage processes related to sexual health services, including appointment scheduling, patient records, and test result tracking.",,
clinical_business,Shared Care Record,core,is a digital system that allows different health and care organisations to securely access and share a patient’s health and care information.,,Clinical & Departmental Systems
clinical_business,Simple Business Intelligence,extended,Simple Business Intelligence- tools that transform raw data into actionable information,,Analytics
clinical_business,Statutory reporting,extended,"Simple BI producing Statutory Returns which need to be made to Central Government – e.g. PBR, MHMDS, CDS, HES, NDTMS – as appropriate to commissioned clinical services. Typically these are contained within the ROCR (Register of Central returns) and have been through an approved “gateway” process.",,Analytics
clinical_business,Substance misuse and addictions,extended,"A software system that supports the daily functions of substance misuse services incorporating clinical, administrative and resource functions – including the production of statutory reports to the National Drug Treatment Monitoribg Service (NDTMS) ",,
clinical_business,Theatres,extended,A specialist theatres system is used to manage patients and surgical procedures in theatres.,,Clinical & Departmental Systems
clinical_business,Transfers of care system,extended,System used to manage and collect data on patient moving from one care provider to another.,,
clinical_business,Vendor Neutral Archive,core,"A VNA is an application that stores medical images in a standard format with a standard interface. Therefore, images stored in VNA can be accessed through any workstation, irrespective of the vendor.",,PACS/RIS (software & services)
clinical_business,Video Consulting,extended,"Is a system that is used when a patient speaks to a doctor or healthcare professional using the video camera in their smartphone, tablet or computer.",,Patient Engagement
clinical_business,Virtual Wards,extended,"Virtual wards, also known as virtual care wards or hospital-at-home programs, are healthcare models that aim to provide hospital-level care to patients in their own homes. These programmes typically utilise telehealth technologies and remote monitoring systems to deliver medical care and supervision to patients who would otherwise require hospitalisation.",,Remote Monitoring
clinical_business,Voice recognition,extended,Identifies and translates spoken words into text. Used to complete tasks or transcribe documents.,,AI
infrastructure,Cloud,core,"Includes: Application databases, Back-up and archive, Big data analytics databases, Data storage, Email and collaboration, Hosting, Networking, Software-as-a-Service (SaaS)",,IT Outsourcing
infrastructure,Data,extended,"Includes: Data mining, Data warehouse, Database management, Database software",,Analytics
infrastructure,Data Storage,extended,"Includes: Data Storage, Data storage management, In-house data centre, Local departmental servers, Outsourced cloud provider, Outsourced data centre, Shared service",,Hardware
infrastructure,Hardware,extended,"Includes: Laptops, PCs, Smartphones, Tablets",,Hardware
infrastructure,IT support,extended,"Includes: Disaster recovery strategy/ business continuity plan, Help desk, Service desk",,ICT staff (internal)
infrastructure,Messaging,extended,"Includes: Multidisciplinary team (MDT) groups, Other, Signal, SMS, Teams, WhatsApp",,Back Office Systems (excl 0365)
infrastructure,Network,extended,"Includes: CoIN - Community of Interest Network, Data network (broadband), Fixed line telecoms, LAN (Local Area Network), Mobile telecoms, Other, WAN (Wide Area Network), WiFi (hardware)",,Networking & Communications
infrastructure,Outsourcing,extended,"Includes: Data centre, Desktop management, IT security, Mobile device management, Networking, Server management",,IT Outsourcing
